beta0.25, 0, beta-0.5, 0, 47, 12, 5
beta-0.5, 0, beta0.25, 0, 25, 30, 9
beta-1, 0, beta-0.25, 0, 23, 40, 1
beta-0.25, 0, beta-1, 0, 61, 3, 0
beta-0.1, 0, beta-0.5, 0, 46, 11, 7
beta-0.5, 0, beta-0.1, 0, 26, 28, 10
beta0, 0, beta-0.5, 0, 51, 7, 6
beta-0.5, 0, beta0, 0, 27, 31, 6
beta-0.25, 0, beta0, 0, 34, 23, 7
beta0, 0, beta-0.25, 0, 42, 18, 4
beta-0.1, 0, beta0.25, 0, 29, 28, 7
beta0.25, 0, beta-0.1, 0, 29, 27, 8
beta0, 0, beta-0.5, 0, 44, 12, 8
beta-0.5, 0, beta0, 0, 26, 29, 9
beta-1, 0, beta0, 0, 2, 56, 6
beta0, 0, beta-1, 0, 64, 0, 0
beta-1, 0, beta0.25, 0, 3, 60, 1
beta0.25, 0, beta-1, 0, 63, 1, 0
beta0.25, 0, beta-1, 0, 63, 1, 0
beta-1, 0, beta0.25, 0, 1, 61, 2
beta0, 0, beta-0.25, 0, 38, 16, 10
beta-0.25, 0, beta0, 0, 32, 23, 9
beta-0.5, 0, beta-0.25, 0, 29, 31, 4
beta-0.25, 0, beta-0.5, 0, 36, 20, 8
beta0, 0, beta-1, 0, 62, 2, 0
beta-1, 0, beta0, 0, 4, 58, 2
beta-1, 0, beta0.25, 0, 3, 56, 5
beta0.25, 0, beta-1, 0, 63, 1, 0
beta-1, 0, beta-0.25, 0, 13, 51, 0
beta-0.25, 0, beta-1, 0, 57, 5, 2
beta-0.01, 0, beta0.25, 0, 40, 16, 8
beta0.25, 0, beta-0.01, 0, 35, 22, 7
beta-0.01, 0, beta0, 0, 34, 19, 11
beta0, 0, beta-0.01, 0, 40, 17, 7
beta-0.5, 0, beta-0.1, 0, 25, 29, 10
beta-0.1, 0, beta-0.5, 0, 45, 10, 9
beta0.25, 0, beta-0.25, 0, 41, 16, 7
beta-0.5, 0, beta-1, 0, 49, 15, 0
beta-1, 0, beta-0.5, 0, 23, 38, 3
beta-1, 0, beta-0.25, 0, 15, 49, 0
beta-0.25, 0, beta-1, 0, 61, 2, 1
beta-0.01, 0, beta-0.5, 0, 52, 8, 4
beta-0.5, 0, beta-0.01, 0, 24, 27, 13
beta-1, 0, beta0, 0, 5, 56, 3
beta0, 0, beta-1, 0, 63, 0, 1
beta-0.25, 0, beta-0.5, 0, 40, 17, 7
beta-0.5, 0, beta-0.25, 0, 21, 34, 9
beta0, 0, beta-0.5, 0, 48, 9, 7
beta-0.5, 0, beta0, 0, 23, 28, 13
beta-0.25, 0, beta0.25, 0, 37, 22, 5
beta0.25, 0, beta-0.25, 0, 45, 13, 6
beta-1, 0, beta-0.01, 0, 3, 54, 7
beta-0.01, 0, beta-1, 0, 63, 1, 0
beta-0.5, 0, beta-0.25, 0, 32, 28, 4
beta-0.25, 0, beta-0.5, 0, 44, 10, 10
