directed-sampling, 1100000, directed-sampling, 2100000, 27, 21, 16
directed-sampling, 2100000, directed-sampling, 1100000, 31, 20, 13
directed-sampling, 1100000, directed-sampling, 1500000, 37, 20, 7
directed-sampling, 1500000, directed-sampling, 1100000, 38, 17, 9
directed-sampling, 900000, directed-sampling, 100000, 47, 14, 3
directed-sampling, 100000, directed-sampling, 900000, 29, 27, 8
directed-sampling, 1500000, directed-sampling, 1100000, 33, 18, 13
directed-sampling, 1100000, directed-sampling, 1500000, 31, 17, 16
undirected-sampling-3, 100000, directed-sampling, 1300000, 30, 17, 17
directed-sampling, 1300000, undirected-sampling-3, 100000, 51, 10, 3
undirected-sampling-3, 900000, directed-sampling, 100000, 44, 16, 4
directed-sampling, 100000, undirected-sampling-3, 900000, 24, 28, 12
undirected-sampling-3, 1900000, directed-sampling, 2100000, 35, 21, 8
directed-sampling, 2100000, undirected-sampling-3, 1900000, 36, 18, 10
directed-sampling, 1500000, undirected-sampling-3, 700000, 36, 16, 12
undirected-sampling-3, 700000, directed-sampling, 1500000, 35, 20, 9
undirected-sampling-3, 900000, directed-sampling, 700000, 35, 21, 8
directed-sampling, 700000, undirected-sampling-3, 900000, 29, 25, 10
undirected-sampling-3, 100000, directed-sampling, 2100000, 36, 20, 8
directed-sampling, 2100000, undirected-sampling-3, 100000, 46, 11, 7
undirected-sampling-3, 100000, directed-sampling, 1900000, 34, 21, 9
directed-sampling, 1900000, undirected-sampling-3, 100000, 45, 13, 6
directed-sampling, 900000, undirected-sampling-3, 1100000, 35, 20, 9
undirected-sampling-3, 1100000, directed-sampling, 900000, 36, 21, 7
directed-sampling, 1500000, undirected-sampling-3, 1900000, 40, 12, 12
undirected-sampling-3, 1900000, directed-sampling, 1500000, 43, 15, 6
undirected-sampling-3, 1100000, undirected-sampling-3, 900000, 39, 14, 11
undirected-sampling-3, 900000, undirected-sampling-3, 1100000, 38, 13, 13
undirected-sampling-3, 1100000, undirected-sampling-3, 100000, 45, 14, 5
undirected-sampling-3, 100000, undirected-sampling-3, 1100000, 33, 26, 5
directed-sampling, 1100000, undirected-sampling-3, 500000, 32, 24, 8
undirected-sampling-3, 500000, directed-sampling, 1100000, 37, 22, 5
undirected-sampling-3, 900000, directed-sampling, 900000, 36, 20, 8
directed-sampling, 900000, undirected-sampling-3, 900000, 31, 22, 11
directed-sampling, 1300000, directed-sampling, 1900000, 41, 13, 10
directed-sampling, 1900000, directed-sampling, 1300000, 43, 16, 5
undirected-sampling-3, 900000, directed-sampling, 700000, 39, 19, 6
directed-sampling, 700000, undirected-sampling-3, 900000, 35, 19, 10
undirected-sampling-3, 1300000, directed-sampling, 1700000, 40, 18, 6
directed-sampling, 1700000, undirected-sampling-3, 1300000, 38, 14, 12
undirected-sampling-3, 700000, directed-sampling, 1700000, 33, 20, 11
directed-sampling, 1700000, undirected-sampling-3, 700000, 36, 16, 12
directed-sampling, 1100000, directed-sampling, 100000, 48, 13, 3
directed-sampling, 100000, directed-sampling, 1100000, 31, 26, 7
directed-sampling, 1700000, directed-sampling, 900000, 35, 24, 5
directed-sampling, 900000, directed-sampling, 1700000, 35, 24, 5
directed-sampling, 1500000, directed-sampling, 500000, 42, 17, 5
directed-sampling, 500000, directed-sampling, 1500000, 34, 22, 8
undirected-sampling-3, 300000, undirected-sampling-3, 1300000, 27, 23, 14
undirected-sampling-3, 1300000, undirected-sampling-3, 300000, 39, 18, 7
directed-sampling, 900000, directed-sampling, 100000, 46, 11, 7
directed-sampling, 100000, directed-sampling, 900000, 25, 24, 15
directed-sampling, 1300000, undirected-sampling-3, 1900000, 29, 18, 17
undirected-sampling-3, 1900000, directed-sampling, 1300000, 37, 20, 7
undirected-sampling-3, 1100000, directed-sampling, 100000, 43, 14, 7
directed-sampling, 100000, undirected-sampling-3, 1100000, 27, 30, 7
undirected-sampling-3, 1500000, undirected-sampling-3, 100000, 42, 15, 7
undirected-sampling-3, 100000, undirected-sampling-3, 1500000, 31, 27, 6
directed-sampling, 1900000, undirected-sampling-3, 300000, 44, 12, 8
undirected-sampling-3, 300000, directed-sampling, 1900000, 39, 18, 7
undirected-sampling-3, 1100000, undirected-sampling-3, 900000, 40, 17, 7
undirected-sampling-3, 900000, undirected-sampling-3, 1100000, 39, 18, 7
directed-sampling, 300000, undirected-sampling-3, 300000, 37, 22, 5
undirected-sampling-3, 300000, directed-sampling, 300000, 37, 20, 7
directed-sampling, 700000, directed-sampling, 500000, 43, 14, 7
